Question,Section,TotalPoints,Type,CorrectAnswer
Name,Personal Info,0,PI,OpenEnded
Email,Personal Info,0,PI,OpenEnded
Identity Number (SO Number),Personal Info,0,PI,OpenEnded
Contact Number / Mobile Number,Personal Info,0,PI,OpenEnded
Why does Emma begin to feel less tired after her workouts?,Reading Comprehension,1,MCQ,Her muscles are getting stronger.
What is a good prediction for what will happen in Emma's next class?,Reading Comprehension,1,MCQ,She will run at least as far as her classmates.
Which is most likely the opinion of the author?,Reading Comprehension,1,MCQ,Exercise is a good idea.
How does Emma likely feel after she runs around the track twice?,Reading Comprehension,1,MCQ,Proud
How would Emma's parents likely feel now that she can keep up with her classmates?,Reading Comprehension,1,MCQ,happy and proud
Which lesson does Emma learn in this text?,Reading Comprehension,1,MCQ,Exercise makes you stronger.
She ________ a big project to complete next week.,Grammar,1,MCQ,has
They ________ already eaten lunch.,Grammar,1,MCQ,had
I ________ finish this work by tomorrow.,Grammar,1,MCQ,will
He ________ a lot of toys when he was a child.,Grammar,1,MCQ,had
________ you help me with this task?,Grammar,1,MCQ,Can
She ________ go to the party if she finishes her homework.,Grammar,1,MCQ,can
We ________ never seen such a beautiful sunset before.,Grammar,1,MCQ,have
"Tomorrow,  she ________ start her new job.",Grammar,1,MCQ,will
"When he was young,  he ________ climb trees easily.",Grammar,1,MCQ,can
"Write a detailed email to your teacher, describing your home. Include information about its location, size, design, and the environment around it. Explain what makes it special or meaningful to you. ",Writing,15,Paragraph,OpenEnded
